LAT;;;;;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584
LON;;;;;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327
ASL;;;;;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000
CITY;;;;;Basel;Basel;Basel;Basel;Basel;Basel;Basel;Basel
DOMAIN;;;;;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4
LEVEL;;;;;2 m above gnd;2 m above gnd;MSL;sfc;sfc;sfc;10 m above gnd;10 m above gnd
NAME;;;;;Temperature;Relative Humidity;Mean Sea Level Pressure;Total Precipitation (low resolution);Snowfall Amount (low resolution);Total Cloud Cover;Wind Speed;Wind Direction
UNIT;;;;;°C;%;hPa;mm;cm;%;km/h;°
AGGREGATION;;;;;;;;;;;;
UTC_OFFSET;;;;;2;2;2;2;2;2;2;2

Year;Month;Day;Hour;Minute;Temperature  [2 m above gnd];Relative Humidity  [2 m above gnd];Mean Sea Level Pressure  [MSL];Total Precipitation (low resolution)  [sfc];Snowfall Amount (low resolution)  [sfc];Total Cloud Cover  [sfc];Wind Speed  [10 m above gnd];Wind Direction  [10 m above gnd]
2014;01;01;00;00;1.23;47.00;1017.50;0.00;0.00;28.00;5.86;100.62
2014;01;01;01;00;1.69;45.00;1017.80;0.00;0.00;17.00;6.95;111.25
2014;01;01;02;00;2.08;41.00;1018.10;0.00;0.00;100.00;7.42;104.04
2014;01;01;03;00;2.13;39.00;1018.00;0.00;0.00;100.00;7.24;116.57
2014;01;01;04;00;3.32;42.00;1017.20;0.00;0.00;100.00;5.60;135.00
2014;01;01;05;00;5.19;56.00;1016.30;0.60;0.42;100.00;4.68;180.00
2014;01;01;06;00;5.74;65.00;1016.90;1.00;0.70;100.00;7.56;180.00
2014;01;01;07;00;6.20;74.00;1017.00;0.20;0.00;100.00;11.21;222.40
2014;01;01;08;00;4.89;74.00;1017.20;0.00;0.00;0.00;11.18;213.18
2014;01;01;09;00;3.43;77.00;1017.20;0.00;0.00;0.00;9.03;184.57
2014;01;01;10;00;3.36;77.00;1017.60;0.00;0.00;0.00;7.59;148.57
2014;01;01;11;00;4.56;74.00;1017.60;0.00;0.00;3.00;8.09;122.28
2014;01;01;12;00;6.31;70.00;1017.10;0.00;0.00;3.60;7.39;133.03
2014;01;01;13;00;8.58;63.00;1015.80;0.00;0.00;100.00;5.80;187.13
2014;01;01;14;00;9.93;60.00;1013.80;0.00;0.00;100.00;9.78;173.66
2014;01;01;15;00;10.66;60.00;1013.10;0.00;0.00;100.00;11.18;165.07
2014;01;01;16;00;10.55;61.00;1011.90;0.00;0.00;100.00;11.73;162.12
2014;01;01;17;00;9.91;65.00;1012.40;0.00;0.00;100.00;11.50;159.86
2014;01;01;18;00;8.80;71.00;1012.10;0.00;0.00;100.00;11.30;149.35
2014;01;01;19;00;7.71;76.00;1011.90;0.00;0.00;100.00;12.23;132.61
2014;01;01;20;00;7.01;81.00;1011.10;0.00;0.00;100.00;13.61;127.48
2014;01;01;21;00;6.40;85.00;1010.50;0.00;0.00;100.00;13.28;122.83
2014;01;01;22;00;5.58;91.00;1010.60;0.00;0.00;100.00;13.78;123.27
2014;01;01;23;00;5.16;96.00;1009.40;0.00;0.00;100.00;12.31;127.87
2014;01;02;00;00;4.94;95.00;1008.80;0.00;0.00;100.00;10.74;129.56
2014;01;02;01;00;4.93;96.00;1009.20;0.00;0.00;100.00;7.39;133.03
2014;01;02;02;00;5.44;93.00;1009.40;0.00;0.00;100.00;11.79;148.74
